decimallongitude,decimallatitude,DOI,Year,Paper_ID
-45.355,-23.772,,2012,GIBRAN FZ 2012 NEOTROP ICHTHYOL
-45.355,-23.772,,2020,KITAHARA MV 2020 ECOL EVOL
-45.355,-23.772,,2016,LIMA EG 2016 MAR POL
-45.355,-23.772,,2018,LUZ BLP 2018 J EXP MAR BIOL ECOL
-45.355,-23.772,10.1002/ece3.6346,2020,"LUZ BLP, 2020, ECOL EVOL"
-45.355,-23.772,,2016,LUZ BP 2016 ICRS
-45.355,-23.772,,2002,MACCORD FS 2002 ESTUAR COAST SHELF SCI
-44,-23.772,,2019,MALY M 2019 SCI REP
-45.355,-23.772,,2019,MENDONCA V 2019 ESTUAR COAST SHELF SCI
-45.355,-23.772,,2001,MORGADO EH 2001 SCI MAR
-45.355,-23.772,,2008,NUNEZ CV 2008 BIOCHEM SYST ECOL
-45.355,-23.772,,2016,ORICCHIO FT 2016 MAR ENVIRON RES
-45.355,-23.772,,2013,ORTS DJB 2013 MAR DRUGS
-45.355,-23.772,,2016,PASTRO G 2016 BIOTA NEOTROP
-45.355,-23.772,,2017,PASTRO G 2017 OCEAN COASTAL MANAGE
-45.355,-23.772,,2017,PEREIRA LB 2017 FEMS MICROBIOL LETT
-45.355,-23.772,,2015,RAMIRES M 2015 J ETHNOBIOL ETHNOMED
-45.355,-23.772,,2007,SELEGHIM MIRNA H R 2007 
-45.355,-23.772,,2018,SOARES LSH 2018 OCEAN COAST MANAG
-45.355,-23.772,10.1007/s00227-020-03734-6,2020,"TANASOVICI RM, 2020, MAR BIOL"
-45.355,-23.772,,2018,VIEIRA EA 2018 MAR ENVIRON RES
-45.355,-23.772,,2018,VINAGRE C 2018 ECOL INDIC
-45.35,-23.766667,,2005,BONALDO R M 2005 
-42,-23.73333333,,2009,LUIZ OJ 2009 ZOOTAXA
-42.0333333,-23.7333333,,2011,MAIA LF 2011 J RAMAN SPECTROSC
-42,-23.733,http://dx.doi.org/10.1007/s00227-005-0097-z,2006,CLAVICO EEG 2006 MAR BIOL
-42.033,-23.733,http://dx.doi.org/10.1007/s10886-008-9499-y,2008,FLEURY BG 2008 J CHEM ECOL
-45.05,-23.667,http://dx.doi.org/10.1007/s00227-014-2585-5,2015,COLMAN LP 2015 MAR BIOL
-42.55,-23.6666667,,2012,"CORDEIRO RTS, 2012, MARINE BIODIVERSITY RECORDS"
-42,-23.6,,2006,LAGES BG 2006 J EXP MAR BIOL ECOL
-45.294,-23.596,http://dx.doi.org/10.1007/s12526-018-0868-7,2019,ROLIM FA 2019 MAR BIODIVERS
-45.0988889,-23.5713889,,2016,BUENO M 2016 ESTUAR COAST SHELF SCI
-45.0988889,-23.5713889,,2016,BUENO M 2016 J MAR BIOL ASSOC U K
-45.0988889,-23.5713889,,2016,"DEPAIVABARROS-ALVES S, 2016, MARINE BIODIVERSITY RECORDS"
-45.0988889,-23.5713889,,2017,GOMEZ F 2017 REV BIOL TROP
-45.0988889,-23.5713889,,2016,LIMA EG 2016 MAR POL
-45.0988889,-23.5713889,,2002,SAZIMA 2002 AQUA-a
-45.0988889,-23.5713889,,2018,SILVA DE SOUZA GR 2018 BIOTA NEOTROP
-45.0988889,-23.5713889,,2017,SIMOES E 2017 REG ENVIR CHANG
-45.174567,-23.56605,,2008,POVINEC PP 2008 ESTUAR COAST SHELF SCI
-45.083,-23.55,,1997,SAZIMA 1997 AQUA
-45.066667,-23.533333,,2004,CUNNINGHAM PTM 2004 BRAZ ARCH BIOL TECHNOL
-44.716667,-23.533333,,2004,SANTANA W 2004 J PLANKTON RES
-45.016667,-23.53331,10.1007/s10641-022-01240-w,2022,"ROLIM FA, 2022, ENVIRON BIOL FISHES"
-45.167,-23.533,http://dx.doi.org/10.1017/S0025315409002306,2009,JACOBUCCI GB 2009 J MAR BIOL ASSOC U K
-45.167,-23.5,NA,2000,BOUZON ZL 2000 CRYPTOGAM ALGOL
-43.16333,-23.5,,2016,DE AZEVEDO MCC 2016 MAR ECOL -EVOL PERSP
-45.117,-23.5,10.1111/ddi.13020,2020,"DIAS GM, 2020, DIVERS DISTRIB"
-45.133,-23.5,http://dx.doi.org/10.1017/S0025315410001633,2011,JACOBUCCI GB 2011 J MAR BIOL ASSOC U K
-45.119,-23.5,http://dx.doi.org/10.1007/s00338-018-1692-z,2018,MIES M 2018 CORAL REEFS
-45.117,-23.5,http://dx.doi.org/10.1007/s10980-013-9970-1,2014,PIERRI-DAUNT AB 2014 LANDSC ECOL
-45.116667,-23.5,10.1590/2675-2824070.21058mft,2022,"TOMASI MF, 2022, OCEAN COAST RES"
-45.093,-23.496,http://dx.doi.org/10.1080/17451000.2017.1306650,2017,BUENO M 2017 MAR BIOL RES
-45.06,-23.467,http://dx.doi.org/10.1590/bjb.2014.0090,2014,ANDRADE LS 2014 BRAZ J BIOL
-45.047,-23.451,http://dx.doi.org/10.1590/S0001-37652013000100012,2013,ALVES DFR 2013 AN ACAD BRAS CIENC
-42,-23.44,,2013,CARPES RM 2013 GENET MOL RES
-45.069,-23.437,NA,2000,FRANSOZO A 2000 BIODIVERSITY CRISIS AND CRUSTACEA
-40.279,-23.433,http://dx.doi.org/10.1590/S1984-46702009000400008,2009,MARIANTE FLF 2009 ZOOLOGIA
-44.967,-23.383,,2008,DE MATOS NOGUEIRA JM 2008 J MAR BIOL ASSOC U K
-45.05,-23.383,NA,1999,FLORES AAV 1999 BULL MAR SCI
-44.8333,-23.3667,,2006,ZILBERBERG C 2006 J EXP MAR BIOL ECOL
-41.2838333,-23.3533333,,2012,FIGUEIREDO MAO 2012 J APPL PHYCOL
-44.85,-23.35,,2003,NOGUEIRA JMD 2003 SCI MAR
-44.833333,-23.35,,2009,OCCHIONI GE 2009 ZOOLOGIA
-44.75,-23.3333333,,2014,DA SILVA AG 2014 ESTUAR COAST SHELF SCI-a
-44,-23.3333333,,2011,LAGES BG 2011 MAR ECOL -PROG SER
-44.75,-23.333333,,2006,AZEVEDO FBB 2006 BRAZ ARCH BIOL TECHNOL
-44,-23.333333,,2004,DE PAULA AF 2004 BULL MAR SCI
-44.0833333,-23.2333333,,2012,MANGELLI TS 2012 IHERINGIA SER ZOOL
-42.45,-23.233,http://dx.doi.org/10.1007/s12686-018-0986-3,2019,SEIXAS VC 2019 CONSERV GENET RESOUR
-44.255,-23.224,http://dx.doi.org/10.1007/s00227-017-3112-2,2017,SILVA AG 2017 MAR BIOL
-43,-23.2,http://dx.doi.org/10.1007/s10750-018-3537-8,2018,ARAUJO FG 2018 HYDROBIOLOGIA
-44.327167,-23.138,10.1016/j.ecss.2022.107743,2022,"MANTELATTO MC, 2022, ESTUAR COAST SHELF SCI"
-44.154,-23.134,http://dx.doi.org/10.1007/s10750-020-04183-4,2020,FORTUNATO HFM 2020 HYDROBIOLOGIA
-44.317,-23.133,http://dx.doi.org/10.1007/s10211-012-0125-1,2012,FRERET-MEURER NV 2012 ACTA ETHOL
-44.15,-23.117,NA,1999,MAIA LF 1999 J NAT PROD
-44.15,-23.117,NA,1992,PIRES DO 1992 BULL MAR SCI
-43.0333,-23.1,,2007,CLAVICO EEG 2007 BIOL BULL
-44.25,-23.1,http://dx.doi.org/10.7717/peerj.3873,2017,CRUZ CAPEL KC 2017 PEERJ
-44.7,-23.1,http://dx.doi.org/10.1371/journal.pone.0166679,2016,NEVES LM 2016 PLOS ONE
-44.7,-23.1,http://dx.doi.org/10.1007/s10641-015-0390-8,2015,TEIXEIRA-NEVES TP 2015 ENVIRON BIOL FISHES
-44.259583,-23.098694,10.1016/j.ocecoaman.2021.105616,2021,"CREED JC, 2021, OCEAN COASTAL MANAGE"
-44.05,-23.0833333,,2012,IGNACIO BL 2012 AQUAT INVASIONS
-44.2,-23.0833333,,2010,MEURER BC 2010
-43.3,-23.0833333,,2013,"MONTEIRO-NETO C, 2013, MARINE BIODIVERSITY RECORDS"
-44.6667,-23.0833,,2001,BROTTO DS 2001 BRAZ ARCH BIOL TECHNOL
-44.225,-23.079,http://dx.doi.org/10.1007/s00227-012-1941-6,2012,LAGES BG 2012 MAR BIOL
-44.326,-23.079,http://dx.doi.org/10.1590/S1679-87592008000400005,2008,MURAMATSU D 2008 BRAZ J OCEANOGR
-44.225,-23.0787,,2007,CREED JC 2007 MAR ECOL -PROG SER
-44.22465,-23.07855,,2010,LAGES BG 2010 MAR ECOL -EVOL PERSP
-44.2244444,-23.0783333,,2014,MOREIRA PL 2014 BIOFOULING
